MOIS;THEMATIQUES;TF1;France 2;France 3;Canal +;Arte;M6;Totaux
may-05;Environnement;33;26;9;1;3;7;79
may-05;Faits divers;18;27;21;9;0;12;87
may-05;Histoire-hommages;22;31;17;4;17;13;104
may-05;International;154;216;119;42;220;66;817
may-05;Justice;43;41;26;19;12;17;158
may-05;Politique France;56;57;47;16;13;24;213
may-05;Santé;48;35;22;2;2;22;131
may-05;Sciences et techniques;31;23;6;0;2;7;69
may-05;Société;176;143;82;27;37;60;525
may-05;Sport;58;61;38;14;0;53;224
june-05;Catastrophes;37;24;20;1;8;12;102
june-05;Culture-loisirs;38;47;27;2;0;16;130
june-05;Economie;54;44;35;2;11;10;156
june-05;Education;19;22;12;3;2;13;71
june-05;Environnement;54;46;10;0;10;11;131
june-05;Faits divers;13;24;19;10;0;11;77
june-05;Histoire-hommages;3;10;6;0;3;3;25
june-05;International;95;105;91;14;168;26;499
june-05;Justice;51;44;31;11;12;20;169
june-05;Politique France;29;25;21;4;5;5;89
june-05;Santé;23;32;13;6;1;10;85
june-05;Sciences et techniques;22;25;3;1;3;4;58
june-05;Société;168;134;72;21;26;67;488
june-05;Sport;53;49;34;12;2;29;179
july-05;Catastrophes;43;46;15;9;12;13;138
july-05;Culture-loisirs;47;61;25;2;3;19;157
july-05;Economie;43;34;25;11;12;13;138
july-05;Education;9;11;8;2;1;3;34
july-05;Environnement;42;48;18;3;9;18;138
july-05;Faits divers;14;11;8;4;1;8;46
july-05;Histoire-hommages;8;11;9;1;4;4;37
july-05;International;185;208;134;52;148;72;799
july-05;Justice;22;23;23;14;17;12;111
july-05;Politique France;29;31;21;9;8;11;109
july-05;Santé;21;9;4;1;3;3;41
july-05;Sciences et techniques;16;24;7;9;9;8;73
july-05;Société;89;84;61;28;27;42;331
july-05;Sport;81;94;55;31;4;55;320
august-05;Catastrophes;142;169;96;35;48;58;548
august-05;Culture-loisirs;48;72;31;6;7;23;187
august-05;Economie;58;58;35;9;5;19;184
august-05;Education;25;19;12;3;2;15;76
august-05;Environnement;66;53;27;6;13;16;181
august-05;Faits divers;34;34;17;10;9;21;125
august-05;Histoire-hommages;14;15;17;2;12;11;71
august-05;International;67;81;53;38;176;33;448
august-05;Justice;15;20;19;4;7;4;69
august-05;Politique France;16;19;21;8;4;7;75
august-05;Santé;32;32;12;4;8;13;101
august-05;Sciences et techniques;26;20;15;7;9;14;91
august-05;Société;159;139;116;39;38;54;545
august-05;Sport;58;69;38;28;4;43;240
september-05;Catastrophes;115;102;51;19;32;46;365
september-05;Culture-loisirs;40;55;25;5;1;17;143
september-05;Economie;63;39;36;21;21;28;208
september-05;Education;16;19;7;3;0;3;48
september-05;Environnement;51;34;19;1;5;4;114
september-05;Faits divers;19;17;15;7;4;14;76
september-05;Histoire-hommages;7;10;4;4;5;3;33
september-05;International;65;71;45;25;133;29;368
september-05;Justice;25;24;20;11;12;13;105
september-05;Politique France;47;47;46;20;9;19;188
september-05;Santé;29;21;18;5;4;5;82
september-05;Sciences et techniques;10;17;8;4;3;5;47
september-05;Société;124;102;78;38;32;55;429
september-05;Sport;41;43;25;11;0;33;153
october-05;Catastrophes;47;49;30;8;39;22;195
october-05;Culture-loisirs;42;57;32;7;3;26;167
october-05;Economie;47;31;18;10;8;7;121
october-05;Education;15;8;5;1;0;1;30
october-05;Environnement;22;14;8;3;2;9;58
october-05;Faits divers;7;11;12;4;3;2;39
october-05;Histoire-hommages;10;6;8;0;2;5;31
october-05;International;69;70;59;27;114;29;368
october-05;Justice;40;40;34;20;16;17;167
october-05;Politique France;23;21;13;11;3;9;80
october-05;Santé;63;70;45;15;33;24;250
october-05;Sciences et techniques;24;22;12;4;7;8;77
october-05;Société;153;140;109;39;44;65;550
october-05;Sport;40;31;23;3;0;25;122
november-05;Catastrophes;29;22;9;1;13;15;89
november-05;Culture-loisirs;50;57;43;5;11;19;185
november-05;Economie;51;40;33;7;10;17;158
november-05;Education;17;16;8;5;2;3;51
november-05;Environnement;39;34;15;4;16;13;121
november-05;Faits divers;24;31;18;15;1;18;107
november-05;Histoire-hommages;18;12;13;1;4;1;49
november-05;International;67;74;39;24;127;21;352
november-05;Justice;45;39;40;18;19;25;186
november-05;Politique France;32;40;26;13;7;8;126
november-05;Santé;47;36;26;10;12;16;147
november-05;Sciences et techniques;20;20;10;1;1;8;60
november-05;Société;291;253;203;81;104;116;1048
november-05;Sport;47;48;22;8;0;33;158
december-05;Catastrophes;52;42;37;4;12;36;183
december-05;Culture-loisirs;60;50;30;5;3;18;166
december-05;Economie;61;64;30;18;9;19;201
december-05;Education;16;14;5;3;1;4;43
december-05;Environnement;29;37;14;6;9;8;103
december-05;Faits divers;17;13;20;7;2;8;67
december-05;Histoire-hommages;13;12;6;4;3;5;43
december-05;International;52;67;52;23;107;28;329
december-05;Justice;32;27;28;12;13;8;120
december-05;Politique France;24;16;17;5;0;16;78
december-05;Santé;19;19;12;1;4;7;62
december-05;Sciences et techniques;30;14;10;2;2;6;64
december-05;Société;186;166;104;38;56;60;610
december-05;Sport;29;27;21;5;2;26;110
january-06;Catastrophes;43;30;21;6;7;20;127
january-06;Culture-loisirs;52;63;38;11;4;33;201
january-06;Economie;47;39;26;8;20;15;155
january-06;Education;26;12;7;4;2;5;56
january-06;Environnement;42;46;24;4;8;15;139
january-06;Faits divers;31;32;20;6;2;18;109
january-06;Histoire-hommages;10;10;11;6;4;2;43
january-06;International;79;88;79;31;138;28;443
january-06;Justice;54;38;34;18;23;28;195
january-06;Politique France;26;28;26;11;20;10;121
january-06;Santé;50;42;24;9;27;15;167
january-06;Sciences et techniques;22;17;17;1;7;9;73
january-06;Société;159;142;100;34;43;55;533
january-06;Sport;40;42;26;5;2;35;150
february-06;Catastrophes;13;16;7;5;12;13;66
february-06;Culture-loisirs;42;47;26;11;2;21;149
february-06;Economie;46;44;18;11;11;18;148
february-06;Education;6;6;2;0;3;1;18
february-06;Environnement;32;21;19;8;9;11;100
february-06;Faits divers;32;28;27;10;7;12;116
february-06;Histoire-hommages;11;3;2;2;4;1;23
february-06;International;42;40;45;30;104;20;281
february-06;Justice;49;44;27;17;17;21;175
february-06;Politique France;29;21;23;9;11;8;101
february-06;Santé;99;94;54;29;38;36;350
february-06;Sciences et techniques;19;12;11;5;3;4;54
february-06;Société;124;104;76;40;55;58;457
february-06;Sport;45;69;42;5;5;42;208
march-06;Catastrophes;25;18;7;4;3;7;64
march-06;Culture-loisirs;46;48;28;12;2;16;152
march-06;Economie;37;29;18;9;12;7;112
march-06;Education;37;46;30;9;10;20;152
march-06;Environnement;40;24;20;4;18;6;112
march-06;Faits divers;16;8;13;6;3;12;58
march-06;Histoire-hommages;6;2;5;0;2;1;16
march-06;International;57;72;41;46;133;30;379
march-06;Justice;45;38;31;26;34;19;193
march-06;Politique France;32;16;22;10;3;8;91
march-06;Santé;59;50;21;12;19;15;176
march-06;Sciences et techniques;14;15;10;10;7;8;64
march-06;Société;211;230;147;60;67;78;793
march-06;Sport;47;42;23;7;2;23;144
april-06;Catastrophes;12;9;8;1;13;5;48
april-06;Culture-loisirs;37;66;24;11;2;16;156
april-06;Economie;53;51;37;15;10;19;185
april-06;Education;22;24;16;4;3;9;78
april-06;Environnement;39;26;13;3;8;9;98
april-06;Faits divers;19;15;11;4;4;16;69
april-06;Histoire-hommages;5;9;6;3;4;3;30
april-06;International;49;80;61;48;140;19;397
april-06;Justice;33;31;30;15;13;13;135
april-06;Politique France;20;27;26;6;13;7;99
april-06;Santé;39;31;29;5;7;12;123
april-06;Sciences et techniques;25;28;12;9;13;10;97
april-06;Société;196;163;112;50;55;67;643
april-06;Sport;47;53;30;7;1;32;170
may-06;Catastrophes;35;29;17;4;9;11;105
may-06;Culture-loisirs;63;60;43;6;5;23;200
may-06;Economie;64;49;30;14;13;13;183
may-06;Education;23;17;5;1;2;6;54
may-06;Environnement;34;33;18;4;9;11;109
may-06;Faits divers;20;15;16;6;8;16;81
may-06;Histoire-hommages;12;7;9;3;6;7;44
may-06;International;43;66;39;40;146;19;353
may-06;Justice;75;84;78;42;36;39;354
may-06;Politique France;37;35;25;15;17;7;136
may-06;Santé;27;29;19;3;11;10;99
may-06;Sciences et techniques;28;15;14;6;2;5;70
may-06;Société;157;127;70;52;37;44;487
may-06;Sport;61;50;28;19;4;23;185
june-06;Catastrophes;10;11;7;3;6;4;41
june-06;Culture-loisirs;41;41;31;14;0;19;146
june-06;Economie;33;39;37;11;17;13;150
june-06;Education;27;20;8;1;1;10;67
june-06;Environnement;32;23;9;4;6;11;85
june-06;Faits divers;26;21;20;5;3;13;88
june-06;Histoire-hommages;7;13;7;1;4;2;34
june-06;International;41;45;39;38;121;11;295
june-06;Justice;40;52;38;19;23;23;195
june-06;Politique France;29;46;31;11;11;16;144
june-06;Santé;18;15;14;4;5;9;65
june-06;Sciences et techniques;13;16;12;1;3;2;47
june-06;Société;109;120;76;29;40;34;408
june-06;Sport;218;163;79;26;29;75;590
july-06;Catastrophes;22;11;12;4;5;10;64
july-06;Culture-loisirs;41;59;37;9;2;18;166
july-06;Economie;31;31;17;3;8;9;99
july-06;Education;9;10;2;2;2;3;28
july-06;Environnement;46;42;23;2;5;14;132
july-06;Faits divers;9;17;18;0;0;7;51
july-06;Histoire-hommages;5;8;6;3;3;1;26
july-06;International;129;142;103;49;172;49;644
july-06;Justice;12;19;24;7;8;8;78
july-06;Politique France;23;18;19;10;6;9;85
july-06;Santé;29;32;23;9;3;13;109
july-06;Sciences et techniques;10;15;9;2;8;5;49
july-06;Société;82;104;84;29;36;42;377
july-06;Sport;174;161;96;20;27;83;561
august-06;Catastrophes;37;42;29;5;14;29;156
august-06;Culture-loisirs;37;60;32;8;3;16;156
august-06;Economie;56;45;28;6;8;9;152
august-06;Education;20;21;8;3;1;8;61
august-06;Environnement;57;33;35;9;17;10;161
august-06;Faits divers;22;23;16;4;1;11;77
august-06;Histoire-hommages;4;4;2;2;7;2;21
august-06;International;134;134;111;59;172;44;654
august-06;Justice;13;10;18;2;10;6;59
august-06;Politique France;37;49;38;21;14;25;184
august-06;Santé;25;22;13;7;10;10;87
august-06;Sciences et techniques;27;30;14;3;2;13;89
august-06;Société;107;84;78;24;42;43;378
august-06;Sport;65;58;42;21;1;37;224
september-06;Catastrophes;29;18;15;3;11;7;83
september-06;Culture-loisirs;37;55;38;15;1;13;159
september-06;Economie;49;48;25;10;15;13;160
september-06;Education;35;25;14;7;4;12;97
september-06;Environnement;32;29;17;8;10;6;102
september-06;Faits divers;19;29;23;13;5;14;103
september-06;Histoire-hommages;10;13;10;0;2;6;41
september-06;International;93;78;55;36;169;18;449
september-06;Justice;39;34;32;19;14;20;158
september-06;Politique France;63;51;49;20;14;19;216
september-06;Santé;35;35;24;9;3;13;119
september-06;Sciences et techniques;28;13;18;4;7;9;79
september-06;Société;134;113;80;36;41;53;457
september-06;Sport;47;42;15;11;0;28;143
october-06;Catastrophes;32;34;19;7;6;16;114
october-06;Culture-loisirs;58;77;36;13;7;18;209
october-06;Economie;57;44;27;8;21;15;172
october-06;Education;28;18;8;0;0;2;56
october-06;Environnement;55;32;14;6;9;7;123
october-06;Faits divers;16;23;12;11;5;20;87
october-06;Histoire-hommages;6;9;7;0;8;0;30
october-06;International;59;58;54;35;153;13;372
october-06;Justice;54;57;44;43;16;24;238
october-06;Politique France;55;54;50;20;20;21;220
october-06;Santé;50;45;26;1;5;10;137
october-06;Sciences et techniques;44;31;11;11;17;13;127
october-06;Société;190;153;131;54;80;73;681
october-06;Sport;55;48;28;22;1;35;189
november-06;Catastrophes;15;14;6;1;3;3;42
november-06;Culture-loisirs;36;54;28;19;2;17;156
november-06;Economie;53;47;22;4;14;14;154
november-06;Education;22;13;4;0;1;4;44
november-06;Environnement;30;34;11;1;8;8;92
november-06;Faits divers;15;20;9;5;1;10;60
november-06;Histoire-hommages;13;13;6;2;6;4;44
november-06;International;61;84;54;32;145;19;395
november-06;Justice;48;54;45;29;20;24;220
november-06;Politique France;53;53;35;27;13;20;201
november-06;Santé;23;22;17;5;4;5;76
november-06;Sciences et techniques;29;12;3;4;7;4;59
november-06;Société;142;134;95;30;54;53;508
november-06;Sport;59;60;33;20;2;32;206
december-06;Catastrophes;22;26;10;3;13;8;82
december-06;Culture-loisirs;53;70;34;16;5;16;194
december-06;Economie;58;45;21;12;14;19;169
december-06;Education;16;16;9;1;3;6;51
december-06;Environnement;31;27;14;3;6;4;85
december-06;Faits divers;33;37;28;12;9;20;139
december-06;Histoire-hommages;11;16;8;5;11;8;59
december-06;International;59;61;45;27;124;21;337
december-06;Justice;32;44;41;14;27;27;185
december-06;Politique France;36;38;44;17;13;11;159
december-06;Santé;23;21;13;4;6;6;73
december-06;Sciences et techniques;19;19;10;5;6;13;72
december-06;Société;186;166;116;36;37;46;587
december-06;Sport;31;47;15;10;1;16;120
january-07;Catastrophes;55;31;18;11;6;12;133
january-07;Culture-loisirs;68;80;45;21;2;27;243
january-07;Economie;49;49;39;11;12;15;175
january-07;Education;20;7;2;0;2;2;33
january-07;Environnement;80;69;39;10;14;21;233
january-07;Faits divers;33;32;34;18;3;26;146
january-07;Histoire-hommages;33;33;21;5;15;11;118
january-07;International;86;79;65;52;157;25;464
january-07;Justice;45;40;27;16;22;13;163
january-07;Politique France;67;73;70;34;15;42;301
january-07;Santé;51;39;21;8;7;8;134
january-07;Sciences et techniques;22;19;4;4;3;1;53
january-07;Société;200;156;94;43;60;52;605
january-07;Sport;59;67;37;17;1;29;210
february-07;Catastrophes;29;30;16;5;8;12;100
february-07;Culture-loisirs;59;68;41;20;6;26;220
february-07;Economie;71;47;43;17;28;18;224
february-07;Education;20;11;3;0;0;5;39
february-07;Environnement;61;29;22;8;10;12;142
february-07;Faits divers;30;15;20;12;3;14;94
february-07;Histoire-hommages;15;6;6;5;3;5;40
february-07;International;72;70;38;39;130;26;375
february-07;Justice;41;31;28;19;26;14;159
february-07;Politique France;79;79;70;34;16;40;318
february-07;Santé;39;39;14;6;16;13;127
february-07;Sciences et techniques;15;17;8;1;1;5;47
february-07;Société;128;102;69;24;43;32;398
february-07;Sport;50;60;34;8;6;20;178
march-07;Catastrophes;23;18;8;5;6;9;69
march-07;Culture-loisirs;53;56;27;7;2;12;157
march-07;Economie;72;34;28;11;16;13;174
march-07;Education;25;17;6;3;4;3;58
march-07;Environnement;44;30;10;5;12;8;109
march-07;Faits divers;25;19;17;6;3;19;89
march-07;Histoire-hommages;7;4;4;2;1;2;20
march-07;International;68;66;47;49;123;17;370
march-07;Justice;44;24;30;24;19;15;156
march-07;Politique France;96;119;75;49;29;51;419
march-07;Santé;31;25;14;6;3;6;85
march-07;Sciences et techniques;33;12;2;5;3;10;65
march-07;Société;155;115;80;44;46;47;487
march-07;Sport;53;63;29;20;0;26;191
april-07;Catastrophes;19;20;5;6;6;9;65
april-07;Culture-loisirs;30;30;25;6;0;14;105
april-07;Economie;37;19;10;5;11;5;87
april-07;Education;7;6;1;1;2;0;17
april-07;Environnement;37;24;8;6;9;8;92
april-07;Faits divers;42;50;40;21;6;27;186
april-07;Histoire-hommages;15;10;10;6;9;7;57
april-07;International;62;53;38;52;149;16;370
april-07;Justice;34;22;22;18;15;14;125
april-07;Politique France;133;148;118;49;39;74;561
april-07;Santé;26;23;11;7;0;9;76
april-07;Sciences et techniques;19;22;13;11;2;6;73
april-07;Société;127;107;51;33;32;36;386
april-07;Sport;46;40;20;13;0;28;147
may-07;Catastrophes;25;21;16;4;1;12;79
may-07;Culture-loisirs;61;73;52;9;4;27;226
may-07;Economie;45;37;16;16;19;14;147
may-07;Education;22;18;6;1;0;3;50
may-07;Environnement;60;52;14;9;10;11;156
may-07;Faits divers;26;19;18;10;0;12;85
may-07;Histoire-hommages;16;8;14;4;10;6;58
may-07;International;108;90;82;55;182;38;555
may-07;Justice;27;29;21;19;21;19;136
may-07;Politique France;148;168;126;49;38;83;612
may-07;Santé;32;14;10;4;1;5;66
may-07;Sciences et techniques;33;12;2;6;7;6;66
may-07;Société;167;114;89;41;49;58;518
may-07;Sport;58;53;29;24;3;27;194
june-07;Catastrophes;32;19;8;2;2;4;67
june-07;Culture-loisirs;38;43;25;20;7;11;144
june-07;Economie;46;38;24;11;8;5;132
june-07;Education;27;27;16;8;2;10;90
june-07;Environnement;38;39;25;12;9;10;133
june-07;Faits divers;23;14;15;13;0;12;77
june-07;Histoire-hommages;6;10;4;3;3;2;28
june-07;International;95;76;68;48;123;30;440
june-07;Justice;42;47;30;29;17;22;187
june-07;Politique France;96;97;64;34;18;43;352
june-07;Santé;27;15;8;8;5;5;68
june-07;Sciences et techniques;19;11;4;7;4;6;51
june-07;Société;137;93;60;55;33;51;429
june-07;Sport;69;59;34;27;2;28;219
july-07;Catastrophes;65;59;36;16;20;26;222
july-07;Culture-loisirs;53;84;55;15;1;24;232
july-07;Economie;65;49;47;14;29;16;220
july-07;Education;16;9;7;2;3;5;42
july-07;Environnement;62;55;24;7;17;27;192
july-07;Faits divers;28;18;19;10;4;9;88
july-07;Histoire-hommages;13;8;6;4;4;4;39
july-07;International;101;75;84;49;168;26;503
july-07;Justice;58;62;48;37;22;30;257
july-07;Politique France;48;37;32;7;10;16;150
july-07;Santé;22;18;15;8;5;14;82
july-07;Sciences et techniques;23;24;4;10;8;9;78
july-07;Société;169;146;90;42;43;69;559
july-07;Sport;105;112;76;33;10;43;379
august-07;Catastrophes;69;65;42;17;32;39;264
august-07;Culture-loisirs;52;45;22;6;7;12;144
august-07;Economie;57;55;42;15;23;12;204
august-07;Education;24;21;9;2;1;7;64
august-07;Environnement;53;36;15;5;8;8;125
august-07;Faits divers;22;30;22;11;6;16;107
august-07;Histoire-hommages;15;11;10;4;7;11;58
august-07;International;52;31;38;37;117;13;288
august-07;Justice;32;26;19;15;10;8;110
august-07;Politique France;33;25;27;8;8;13;114
august-07;Santé;15;7;3;5;8;5;43
august-07;Sciences et techniques;27;19;18;5;5;9;83
august-07;Société;129;127;88;34;53;54;485
august-07;Sport;89;74;43;27;5;36;274
september-07;Catastrophes;23;20;13;5;13;7;81
september-07;Culture-loisirs;46;54;31;18;5;26;180
september-07;Economie;52;45;29;23;20;11;180
september-07;Education;21;27;11;7;4;6;76
september-07;Environnement;34;28;5;5;16;4;92
september-07;Faits divers;26;28;12;12;4;25;107
september-07;Histoire-hommages;12;11;10;6;3;6;48
september-07;International;78;78;37;52;135;23;403
september-07;Justice;39;30;25;35;13;22;164
september-07;Politique France;55;42;40;23;14;23;197
september-07;Santé;25;21;19;7;2;8;82
september-07;Sciences et techniques;17;11;2;4;1;4;39
september-07;Société;123;133;70;52;41;38;457
september-07;Sport;131;78;47;14;9;39;318
october-07;Catastrophes;37;26;21;11;11;13;119
october-07;Culture-loisirs;60;61;42;33;6;32;234
october-07;Economie;54;46;20;21;13;11;165
october-07;Education;21;18;8;3;2;7;59
october-07;Environnement;40;53;20;11;9;9;142
october-07;Faits divers;37;25;11;12;4;16;105
october-07;Histoire-hommages;8;5;7;4;8;2;34
october-07;International;114;114;64;71;178;28;569
october-07;Justice;68;51;56;52;17;29;273
october-07;Politique France;50;44;39;19;12;16;180
october-07;Santé;30;36;9;9;1;9;94
october-07;Sciences et techniques;22;10;10;1;2;8;53
october-07;Société;176;179;88;69;54;61;627
october-07;Sport;146;118;69;30;7;53;423
november-07;Catastrophes;29;28;12;10;12;10;101
november-07;Culture-loisirs;43;41;27;16;3;16;146
november-07;Economie;44;51;26;29;17;15;182
november-07;Education;41;40;18;14;8;13;134
november-07;Environnement;26;24;8;5;9;7;79
november-07;Faits divers;21;17;20;14;1;14;87
november-07;Histoire-hommages;16;14;10;5;5;3;53
november-07;International;103;91;55;56;142;38;485
november-07;Justice;52;45;43;30;12;28;210
november-07;Politique France;33;21;15;11;5;3;88
november-07;Santé;21;6;8;5;2;8;50
november-07;Sciences et techniques;13;5;6;2;4;4;34
november-07;Société;203;192;109;81;50;70;705
november-07;Sport;51;36;20;13;2;18;140
december-07;Catastrophes;23;17;14;5;3;2;64
december-07;Culture-loisirs;68;57;35;17;8;25;210
december-07;Economie;61;49;38;20;13;18;199
december-07;Education;17;9;5;1;0;1;33
december-07;Environnement;56;36;18;10;16;9;145
december-07;Faits divers;38;33;16;15;4;23;129
december-07;Histoire-hommages;10;7;4;5;2;2;30
december-07;International;109;117;69;72;149;48;564
december-07;Justice;65;51;45;36;16;37;250
december-07;Politique France;46;35;30;13;10;16;150
december-07;Santé;24;20;19;8;5;11;87
december-07;Sciences et techniques;18;12;3;7;5;6;51
december-07;Société;159;149;81;63;52;46;550
december-07;Sport;50;40;19;7;0;17;133
january-08;Catastrophes;24;14;10;3;2;4;57
january-08;Culture-loisirs;76;80;53;34;9;33;285
january-08;Economie;83;89;44;26;29;24;295
january-08;Education;11;11;5;4;2;2;35
january-08;Environnement;38;32;16;4;5;7;102
january-08;Faits divers;45;36;30;17;0;27;155
january-08;Histoire-hommages;21;15;11;7;9;7;70
january-08;International;151;144;98;80;212;41;726
january-08;Justice;58;55;36;32;21;29;231
january-08;Politique France;72;65;50;21;10;30;248
january-08;Santé;44;47;30;14;6;16;157
january-08;Sciences et techniques;19;15;5;3;1;4;47
january-08;Société;166;126;73;65;43;67;540
january-08;Sport;91;81;40;22;3;28;265
february-08;Catastrophes;15;10;5;3;4;8;45
february-08;Culture-loisirs;68;72;47;26;9;25;247
february-08;Economie;73;69;30;27;18;17;234
february-08;Education;20;13;11;5;2;7;58
february-08;Environnement;28;13;9;13;3;3;69
february-08;Faits divers;19;9;11;11;3;16;69
february-08;Histoire-hommages;15;9;2;5;2;4;37
february-08;International;103;102;70;73;166;36;550
february-08;Justice;43;46;32;34;18;20;193
february-08;Politique France;55;53;53;22;15;26;224
february-08;Santé;21;21;11;10;3;11;77
february-08;Sciences et techniques;36;11;5;5;3;9;69
february-08;Société;136;96;72;53;35;49;441
february-08;Sport;56;57;31;17;0;27;188
march-08;Catastrophes;16;24;10;4;1;6;61
march-08;Culture-loisirs;51;44;29;14;2;19;159
march-08;Economie;68;51;29;27;14;15;204
march-08;Education;17;12;2;3;4;5;43
march-08;Environnement;38;21;26;12;7;14;118
march-08;Faits divers;22;18;13;16;2;9;80
march-08;Histoire-hommages;14;21;10;7;8;5;65
march-08;International;95;99;52;61;152;27;486
march-08;Justice;39;43;35;39;15;29;200
march-08;Politique France;58;67;68;42;13;37;285
march-08;Santé;24;19;16;13;7;20;99
march-08;Sciences et techniques;33;13;8;4;6;3;67
march-08;Société;134;98;45;61;42;43;423
march-08;Sport;69;72;35;20;6;33;235
april-08;Catastrophes;19;18;12;5;2;10;66
april-08;Culture-loisirs;57;55;42;19;2;31;206
april-08;Economie;98;83;42;38;46;29;336
april-08;Education;27;28;20;19;7;16;117
april-08;Environnement;26;34;13;1;4;10;88
april-08;Faits divers;47;41;38;29;12;36;203
april-08;Histoire-hommages;31;28;26;12;7;8;112
april-08;International;87;98;65;80;178;23;531
april-08;Justice;37;41;34;28;11;23;174
april-08;Politique France;41;37;34;25;22;10;169
april-08;Santé;32;31;12;11;6;19;111
april-08;Sciences et techniques;31;19;4;6;2;10;72
april-08;Société;147;148;79;57;50;51;532
april-08;Sport;115;115;54;51;26;55;416
may-08;Catastrophes;85;84;53;36;44;29;331
may-08;Culture-loisirs;53;59;41;18;2;27;200
may-08;Economie;79;75;46;30;34;15;279
may-08;Education;19;18;8;4;5;7;61
may-08;Environnement;22;23;8;3;5;2;63
may-08;Faits divers;24;19;18;13;0;24;98
may-08;Histoire-hommages;23;21;11;8;11;12;86
may-08;International;58;56;31;48;130;17;340
may-08;Justice;29;24;26;25;11;15;130
may-08;Politique France;35;39;25;16;9;9;133
may-08;Santé;15;16;9;4;2;5;51
may-08;Sciences et techniques;18;5;7;3;1;1;35
may-08;Société;147;119;75;51;32;40;464
may-08;Sport;69;56;28;22;6;34;215
june-08;Catastrophes;56;45;20;19;17;19;176
june-08;Culture-loisirs;40;69;32;16;8;21;186
june-08;Economie;79;62;50;25;23;18;257
june-08;Education;19;23;16;7;5;12;82
june-08;Environnement;34;20;5;4;13;1;77
june-08;Faits divers;20;39;19;17;5;21;121
june-08;Histoire-hommages;13;7;4;6;3;1;34
june-08;International;64;96;61;69;150;17;457
june-08;Justice;32;23;25;17;9;19;125
june-08;Politique France;25;29;23;11;6;5;99
june-08;Santé;24;15;18;7;1;6;71
june-08;Sciences et techniques;8;10;9;5;4;5;41
june-08;Société;131;97;68;53;43;45;437
june-08;Sport;99;91;45;26;7;57;325
july-08;Catastrophes;28;31;13;15;2;15;104
july-08;Culture-loisirs;81;75;43;16;6;25;246
july-08;Economie;65;63;34;17;31;23;233
july-08;Education;16;11;2;5;2;6;42
july-08;Environnement;43;30;20;9;5;11;118
july-08;Faits divers;51;59;35;33;3;44;225
july-08;Histoire-hommages;11;6;3;5;2;2;29
july-08;International;99;111;74;84;203;37;608
july-08;Justice;32;28;30;24;19;16;149
